tag,barcode_group,total_seqs,total_unique_seqs,total_failed_seqs,total_AA_mutations,unique_AA_mutations,mean_AA_mutations_per_seq,median_AA_mutations_per_seq,total_NT_mutations,unique_NT_mutations,mean_NT_mutations_per_base,mean_NT_mutations_per_seq,median_NT_mutations_per_seq,total_transversions,total_transitions,unique_transversions,unique_transitions,total_insertion_length,total_deletion_length,A->T,A->G,A->C,T->A,T->G,T->C,G->A,G->T,G->C,C->A,C->T,C->G,A->T_unique,A->G_unique,A->C_unique,T->A_unique,T->G_unique,T->C_unique,G->A_unique,G->T_unique,G->C_unique,C->A_unique,C->T_unique,C->G_unique
DE3-TRP5-P10,DS-555-B,37,37,0,,,,,192.0,117.0,0.0023662513,5.19,5,12.0,180.0,7.0,110.0,111,31,0.0,32.0,0.0,1.0,0.0,60.0,52.0,3.0,1.0,2.0,36.0,5.0,0.0,24.0,0.0,1.0,0.0,27.0,30.0,1.0,1.0,2.0,29.0,2.0
DE3-TRP5-P10,DS-555-C,69,69,0,,,,,1287.0,455.0,0.0085053233,18.65,18,24.0,1263.0,20.0,435.0,223,14,0.0,367.0,0.0,4.0,0.0,474.0,212.0,3.0,9.0,5.0,210.0,3.0,0.0,106.0,0.0,3.0,0.0,152.0,105.0,1.0,9.0,4.0,72.0,3.0
DE3-TRP5-P10,DS-555-D,196,191,0,,,,,842.0,429.0,0.0019589231,4.3,4,162.0,680.0,8.0,421.0,577,68,0.0,158.0,0.0,1.0,0.0,419.0,71.0,4.0,2.0,2.0,32.0,153.0,0.0,105.0,0.0,1.0,0.0,236.0,52.0,2.0,2.0,2.0,28.0,1.0
DE3-TRP5-P10,DS-555-E,120,119,0,,,,,827.0,371.0,0.0031425749,6.89,5,103.0,724.0,14.0,357.0,363,65,1.0,133.0,0.0,3.0,0.0,366.0,153.0,1.0,4.0,0.0,72.0,94.0,1.0,86.0,0.0,3.0,0.0,179.0,57.0,1.0,4.0,0.0,35.0,5.0
DE3-TRP5-P10,DS-555-G,216,216,0,,,,,1455.0,436.0,0.0030716421,6.74,6,19.0,1436.0,9.0,427.0,658,161,0.0,402.0,0.0,0.0,0.0,736.0,223.0,9.0,6.0,2.0,75.0,2.0,0.0,120.0,0.0,0.0,0.0,223.0,58.0,1.0,6.0,1.0,26.0,1.0
DE3-TRP5-P10,DS-556-A,90,81,0,,,,,699.0,202.0,0.0035415717,7.77,7,30.0,669.0,18.0,184.0,255,35,4.0,138.0,0.0,3.0,0.0,268.0,216.0,4.0,14.0,3.0,47.0,2.0,3.0,38.0,0.0,1.0,0.0,68.0,53.0,3.0,6.0,3.0,25.0,2.0
DE3-TRP5-P10,DS-556-B,58,58,0,,,,,1093.0,373.0,0.0085931726,18.84,17,14.0,1079.0,10.0,363.0,236,6,0.0,346.0,0.0,5.0,0.0,381.0,203.0,2.0,5.0,1.0,149.0,1.0,0.0,103.0,0.0,2.0,0.0,128.0,77.0,2.0,4.0,1.0,55.0,1.0
DE3-TRP5-P10,DS-556-C,87,87,0,,,,,771.0,297.0,0.0040410711,8.86,9,49.0,722.0,16.0,281.0,278,50,1.0,192.0,0.0,16.0,10.0,346.0,137.0,5.0,11.0,2.0,47.0,4.0,1.0,71.0,0.0,2.0,1.0,120.0,58.0,2.0,5.0,2.0,32.0,3.0
DE3-TRP5-P10,DS-556-E,143,134,0,,,,,1434.0,417.0,0.0045727187,10.03,6,114.0,1320.0,19.0,398.0,412,148,0.0,284.0,1.0,4.0,1.0,535.0,277.0,6.0,5.0,2.0,224.0,95.0,0.0,101.0,1.0,4.0,1.0,170.0,76.0,5.0,5.0,2.0,51.0,1.0
DE3-TRP5-P10,DS-557-B,95,94,0,,,,,467.0,221.0,0.0022415821,4.92,5,24.0,443.0,8.0,213.0,287,51,0.0,142.0,0.0,0.0,0.0,260.0,34.0,1.0,4.0,2.0,7.0,17.0,0.0,59.0,0.0,0.0,0.0,125.0,23.0,1.0,3.0,2.0,6.0,2.0
DE3-TRP5-P10,DS-557-C,92,92,0,,,,,405.0,216.0,0.0020073752,4.4,4,93.0,312.0,9.0,207.0,279,6,0.0,84.0,0.0,1.0,1.0,183.0,29.0,6.0,3.0,0.0,16.0,82.0,0.0,55.0,0.0,1.0,1.0,118.0,23.0,2.0,3.0,0.0,11.0,2.0
DE3-TRP5-P10,DS-557-E,58,58,0,,,,,297.0,154.0,0.0023350158,5.12,5,62.0,235.0,8.0,146.0,212,41,1.0,53.0,0.0,1.0,0.0,93.0,77.0,1.0,21.0,1.0,12.0,37.0,1.0,29.0,0.0,1.0,0.0,71.0,34.0,1.0,3.0,1.0,12.0,1.0
DE3-TRP5-P10,DS-559-A,75,75,0,,,,,354.0,196.0,0.0021523028,4.72,5,8.0,346.0,2.0,194.0,231,6,0.0,99.0,0.0,0.0,0.0,208.0,30.0,5.0,0.0,0.0,9.0,3.0,0.0,47.0,0.0,0.0,0.0,115.0,25.0,1.0,0.0,0.0,7.0,1.0
DE3-TRP5-P10,FA-E2,78,76,0,,,,,539.0,227.0,0.0031510517,6.91,7,68.0,471.0,26.0,201.0,239,22,5.0,98.0,0.0,5.0,2.0,114.0,148.0,3.0,46.0,2.0,111.0,5.0,5.0,40.0,0.0,5.0,2.0,53.0,67.0,2.0,5.0,2.0,41.0,5.0
DE3-TRP5-P10,FA-F5,83,83,0,,,,,638.0,276.0,0.0035051286,7.69,7,49.0,589.0,37.0,239.0,285,33,11.0,94.0,0.0,16.0,1.0,80.0,256.0,4.0,9.0,4.0,159.0,4.0,3.0,31.0,0.0,15.0,1.0,59.0,102.0,4.0,7.0,4.0,47.0,3.0
DE3-TRP5-P10,FA-G5,56,56,0,,,,,405.0,172.0,0.0032978308,7.23,7,7.0,398.0,7.0,165.0,190,29,2.0,73.0,0.0,0.0,0.0,58.0,139.0,0.0,3.0,0.0,128.0,2.0,2.0,33.0,0.0,0.0,0.0,36.0,62.0,0.0,3.0,0.0,34.0,2.0
DE3-TRP5-P10,FA-G8,63,63,0,,,,,426.0,232.0,0.0030834039,6.76,7,30.0,396.0,23.0,209.0,216,24,0.0,58.0,4.0,10.0,1.0,63.0,130.0,3.0,6.0,4.0,145.0,2.0,0.0,37.0,1.0,8.0,1.0,50.0,79.0,2.0,5.0,4.0,43.0,2.0
DE3-TRP5-P10,FA-H6,6,6,0,,,,,39.0,32.0,0.0029639763,6.5,6,8.0,31.0,5.0,27.0,23,0,2.0,4.0,0.0,2.0,2.0,5.0,11.0,0.0,1.0,0.0,11.0,1.0,1.0,4.0,0.0,1.0,1.0,5.0,9.0,0.0,1.0,0.0,9.0,1.0
DE3-TRP5-P10,FA-H9,85,85,0,,,,,624.0,345.0,0.0033475497,7.34,7,100.0,524.0,53.0,292.0,299,23,4.0,82.0,0.0,27.0,2.0,71.0,246.0,6.0,9.0,7.0,125.0,45.0,4.0,49.0,0.0,18.0,1.0,58.0,124.0,5.0,7.0,7.0,61.0,11.0
DE3-TRP5-P10,pGR481-ctrl,194,55,0,,,,,92.0,51.0,0.0002162457,0.47,0,50.0,42.0,42.0,9.0,165,1,0.0,33.0,0.0,0.0,0.0,7.0,2.0,30.0,0.0,18.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,3.0,2.0,23.0,0.0,17.0,0.0,2.0
