,generation
barcodeGroup,0,24,32,40,56,64,72,80,104,112,120,128
3E,DE5-URA3_615D-g0,,,DE5-URA3_615D-g40,,,DE5-URA3_615D-g72,,,,DE5-URA3_615D-g120,
3E,DE5-URA3_615C-g0,,,DE5-URA3_615C-g40,,,,DE5-URA3_615C-g80,,,,DE5-URA3_615C-g128
3E,DE5-URA3_615A-g0,,,DE5-URA3_615A-g40,,,,DE5-URA3_615A-g80,,,,DE5-URA3_615A-g128
BB-3A,DE5-URA3_616A-g0,,,DE5-URA3_616A-g40,,,,DE5-URA3_616A-g80,,,,DE5-URA3_616A-g128
BB-3A,DE5-URA3_616C-g0,,,DE5-URA3_616C-g40,,,,DE5-URA3_616C-g80,,,,DE5-URA3_616C-g128
BB-3A,DE5-URA3_616D-g0,,,DE5-URA3_616D-g40,,,,DE5-URA3_616D-g80,,,,DE5-URA3_616D-g128
BB-3A,DE5-URA3_616B-g0,,,DE5-URA3_616B-g40,,,,DE5-URA3_616B-g80,,,,DE5-URA3_616B-g128
BB-3B,DE5-URA3_617A-g0,,,DE5-URA3_617A-g40,,,,DE5-URA3_617A-g80,,,,DE5-URA3_617A-g128
BB-3B,DE5-URA3_617B-g0,,,DE5-URA3_617B-g40,,,,DE5-URA3_617B-g80,,,,DE5-URA3_617B-g128
BB-3B,DE5-URA3_617C-g0,,,DE5-URA3_617C-g40,,,,DE5-URA3_617C-g80,,,,DE5-URA3_617C-g128
BB-3B,DE5-URA3_617D-g0,,,DE5-URA3_617D-g40,,,,DE5-URA3_617D-g80,,,,DE5-URA3_617D-g128
BB-Tv,DE5-URA3_618C-g0,,,DE5-URA3_618C-g40,,,,DE5redo-URA3_618C-g80,,,,DE5redo-URA3_618C-g128
BB-Tv,DE5-URA3_618B-g0,,,DE5-URA3_618B-g40,,,,DE5-URA3_618B-g80,,,,DE5redo-URA3_618B-g128
BB-Tv,DE5-URA3_618A-g0,,,DE5-URA3_618A-g40,,,,DE5-URA3_618A-g80,,,,DE5redo-URA3_618A-g128
BB-Tv,DE5-URA3_618D-g0,,,DE5-URA3_618D-g40,,,,DE5-URA3_618D-g80,,,,DE5redo-URA3_618D-g128
BB-5k,DE5-URA3_619D-g0,,DE5-URA3_619D-g32,,,DE5-URA3_619D-g64,,,,DE5redo-URA3_619D-g112,,
BB-5k,DE5-URA3_619C-g0,,DE5-URA3_619C-g32,,,DE5-URA3_619C-g64,,,,DE5redo-URA3_619C-g112,,
BB-5k,DE5-URA3_619B-g0,,DE5-URA3_619B-g32,,,DE5-URA3_619B-g64,,,,DE5redo-URA3_619B-g112,,
BB-5k,DE5-URA3_619A-g0,,DE5-URA3_619A-g32,,,DE5-URA3_619A-g64,,,,DE5redo-URA3_619A-g112,,
BB-3E,DE5-URA3_620B-g0,DE5-URA3_620B-g24,,,DE5-URA3_620B-g56,,,,DE5redo-URA3_620B-g104,,,
BB-3E,DE5-URA3_620A-g0,DE5-URA3_620A-g24,,,DE5-URA3_620A-g56,,,,DE5redo-URA3_620A-g104,,,
BB-3E,DE5-URA3_620C-g0,DE5-URA3_620C-g24,,,DE5redo-URA3_620C-g56,,,,DE5redo-URA3_620C-g104,,,
BB-3E,DE5-URA3_620D-g0,DE5-URA3_620D-g24,,,DE5-URA3_620D-g56,,,,DE5redo-URA3_620D-g104,,,
