,generation,,,,,,,,,,,
BadBoy1,DE5redo-mScarlettI-flipped_594B-g0,,,DE5-mScarlettI-flipped_594B-g40,,,,DE5-mScarlettI-flipped_594B-g80,,,,DE5-mScarlettI-flipped_594B-g128
BadBoy2,DE5-mScarlettI-flipped_595A-g0,,,DE5redo-mScarlettI-flipped_595A-g40,,,,DE5redo-mScarlettI-flipped_595A-g80,,,,DE5redo-mScarlettI-flipped_595A-g128
BadBoy2,DE5-mScarlettI-flipped_595B-g0,,,DE5-mScarlettI-flipped_595B-g40,,,,DE5-mScarlettI-flipped_595B-g80,,,,DE5-mScarlettI-flipped_595B-g128
BadBoy2,DE5redo-mScarlettI-flipped_595C-g0,,,DE5-mScarlettI-flipped_595C-g40,,,,DE5-mScarlettI-flipped_595C-g80,,,,DE5-mScarlettI-flipped_595C-g128
BadBoy2,DE5redo-mScarlettI-flipped_595D-g0,,,DE5-mScarlettI-flipped_595D-g40,,,,DE5-mScarlettI-flipped_595D-g80,,,,DE5-mScarlettI-flipped_595D-g128
BadBoy3,DE5-mScarlettI-flipped_596A-g0,,,DE5redo-mScarlettI-flipped_596A-g40,,,,DE5redo-mScarlettI-flipped_596A-g80,,,,DE5redo-mScarlettI-flipped_596A-g128
BadBoy3,DE5-mScarlettI-flipped_596C-g0,,,DE5-mScarlettI-flipped_596C-g40,,,,DE5-mScarlettI-flipped_596C-g80,,,,DE5redo-mScarlettI-flipped_596C-g128
BadBoy3,DE5-mScarlettI-flipped_596D-g0,,,DE5redo-mScarlettI-flipped_596D-g40,,,,DE5redo-mScarlettI-flipped_596D-g80,,,,DE5-mScarlettI-flipped_596D-g128
BadBoy3,DE5-mScarlettI-flipped_596B-g0,,,DE5-mScarlettI-flipped_596B-g40,,,,DE5-mScarlettI-flipped_596B-g80,,,,DE5-mScarlettI-flipped_596B-g128
3A,DE5-mScarlettI-flipped_611D-g0,,,DE5-mScarlettI-flipped_611D-g40,,,,DE5-mScarlettI-flipped_611D-g80,,,,DE5-mScarlettI-flipped_611D-g128
3A,DE5-mScarlettI-flipped_611A-g0,,,DE5-mScarlettI-flipped_611A-g40,,,,DE5-mScarlettI-flipped_611A-g80,,,,DE5redo-mScarlettI-flipped_611A-g128
3A,DE5-mScarlettI-flipped_611B-g0,,,DE5-mScarlettI-flipped_611B-g40,,,,DE5-mScarlettI-flipped_611B-g80,,,,DE5-mScarlettI-flipped_611B-g128
3A,DE5-mScarlettI-flipped_611C-g0,,,DE5-mScarlettI-flipped_611C-g40,,,,DE5-mScarlettI-flipped_611C-g80,,,,DE5-mScarlettI-flipped_611C-g128
3B,DE5-mScarlettI-flipped_612D-g0,,,DE5-mScarlettI-flipped_612D-g40,,,DE5-mScarlettI-flipped_612D-g72,,,,DE5redo-mScarlettI-flipped_612D-g120,
3B,DE5-mScarlettI-flipped_612C-g0,,,DE5-mScarlettI-flipped_612C-g40,,,,DE5-mScarlettI-flipped_612C-g80,,,,DE5redo-mScarlettI-flipped_612C-g128
