,barcode_types
595D-g80,bc7,bc19
595D-g128,bc19,bc19
617D-g0,bc8,bc7
617D-g40,bc20,bc7
617D-g80,bc8,bc19
617D-g128,bc20,bc19
620C-g0,bc10,bc7
620C-g24,bc22,bc7
620C-g56,bc10,bc19
620C-g104,bc22,bc19
596A-g0,bc1,bc8
596A-g40,bc13,bc8
596A-g80,bc1,bc20
596A-g128,bc13,bc20
618A-g0,bc2,bc8
618A-g40,bc14,bc8
618A-g80,bc2,bc20
618A-g128,bc14,bc20
596B-g0,bc3,bc8
596B-g40,bc15,bc8
596B-g80,bc3,bc20
596B-g128,bc15,bc20
618B-g0,bc4,bc8
618B-g40,bc16,bc8
618B-g80,bc4,bc20
618B-g128,bc16,bc20
596C-g0,bc5,bc8
596C-g40,bc17,bc8
596C-g80,bc5,bc20
596C-g128,bc17,bc20
618C-g0,bc6,bc8
618C-g40,bc18,bc8
618C-g80,bc6,bc20
618C-g128,bc18,bc20
596D-g0,bc7,bc8
596D-g40,bc19,bc8
596D-g80,bc7,bc20
596D-g128,bc19,bc20
618D-g0,bc8,bc8
618D-g40,bc20,bc8
618D-g80,bc8,bc20
618D-g128,bc20,bc20
620D-g0,bc10,bc8
620D-g24,bc22,bc8
620D-g56,bc10,bc20
620D-g104,bc22,bc20
