,generation
barcodeGroup,0,24,32,40,56,64,72,80,104,112,120,128
3A,DE5-LEU2_611B-g0,,,DE5-LEU2_611B-g40,,,,DE5-LEU2_611B-g80,,,,DE5-LEU2_611B-g128
3A,DE5-LEU2_611C-g0,,,DE5-LEU2_611C-g40,,,,DE5-LEU2_611C-g80,,,,DE5-LEU2_611C-g128
3B,DE5-LEU2_612D-g0,,,DE5-LEU2_612D-g40,,,DE5-LEU2_612D-g72,,,,DE5redo-LEU2_612D-g120,
3B,DE5-LEU2_612C-g0,,,DE5-LEU2_612C-g40,,,,DE5-LEU2_612C-g80,,,,DE5redo-LEU2_612C-g128
3B,DE5-LEU2_612B-g0,,,DE5-LEU2_612B-g40,,,,DE5-LEU2_612B-g80,,,,DE5redo-LEU2_612B-g128
3B,DE5-LEU2_612A-g0,,,DE5-LEU2_612A-g40,,,,DE5-LEU2_612A-g80,,,,DE5redo-LEU2_612A-g128
3C,DE5-LEU2_613A-g0,,,DE5-LEU2_613A-g40,,,,DE5-LEU2_613A-g80,,,,DE5-LEU2_613A-g128
3C,DE5-LEU2_613B-g0,,,DE5-LEU2_613B-g40,,,,DE5-LEU2_613B-g80,,,,DE5-LEU2_613B-g128
3C,DE5-LEU2_613C-g0,,,DE5-LEU2_613C-g40,,,,DE5-LEU2_613C-g80,,,,DE5-LEU2_613C-g128
3C,DE5-LEU2_613D-g0,,,DE5-LEU2_613D-g40,,,DE5-LEU2_613D-g72,,,,DE5-LEU2_613D-g120,
3D,DE5-LEU2_614D-g0,,,DE5-LEU2_614D-g40,,,DE5-LEU2_614D-g72,,,,DE5-LEU2_614D-g120,
3D,DE5-LEU2_614C-g0,,,DE5-LEU2_614C-g40,,,,DE5-LEU2_614C-g80,,,,DE5-LEU2_614C-g128
3D,DE5-LEU2_614B-g0,,,DE5-LEU2_614B-g40,,,,DE5-LEU2_614B-g80,,,,DE5-LEU2_614B-g128
3D,DE5-LEU2_614A-g0,,,DE5-LEU2_614A-g40,,,,DE5-LEU2_614A-g80,,,,DE5-LEU2_614A-g128
3E,DE5-LEU2_615B-g0,,,DE5-LEU2_615B-g40,,,,DE5-LEU2_615B-g80,,,,DE5-LEU2_615B-g128
3E,DE5-LEU2_615D-g0,,,DE5-LEU2_615D-g40,,,DE5-LEU2_615D-g72,,,,DE5-LEU2_615D-g120,
3E,DE5-LEU2_615C-g0,,,DE5-LEU2_615C-g40,,,,DE5-LEU2_615C-g80,,,,DE5-LEU2_615C-g128
3E,DE5-LEU2_615A-g0,,,DE5-LEU2_615A-g40,,,,DE5-LEU2_615A-g80,,,,DE5-LEU2_615A-g128
BB-3A,DE5-LEU2_616A-g0,,,DE5-LEU2_616A-g40,,,,DE5-LEU2_616A-g80,,,,DE5-LEU2_616A-g128
BB-3A,DE5-LEU2_616C-g0,,,DE5-LEU2_616C-g40,,,,DE5-LEU2_616C-g80,,,,DE5-LEU2_616C-g128
BB-3A,DE5-LEU2_616D-g0,,,DE5-LEU2_616D-g40,,,,DE5-LEU2_616D-g80,,,,DE5-LEU2_616D-g128
BB-3A,DE5-LEU2_616B-g0,,,DE5-LEU2_616B-g40,,,,DE5-LEU2_616B-g80,,,,DE5-LEU2_616B-g128
BB-3B,DE5-LEU2_617A-g0,,,DE5-LEU2_617A-g40,,,,DE5-LEU2_617A-g80,,,,DE5-LEU2_617A-g128
BB-3B,DE5-LEU2_617B-g0,,,DE5-LEU2_617B-g40,,,,DE5-LEU2_617B-g80,,,,DE5-LEU2_617B-g128
BB-3B,DE5-LEU2_617C-g0,,,DE5-LEU2_617C-g40,,,,DE5-LEU2_617C-g80,,,,DE5-LEU2_617C-g128
BB-3B,DE5-LEU2_617D-g0,,,DE5-LEU2_617D-g40,,,,DE5-LEU2_617D-g80,,,,DE5-LEU2_617D-g128
BB-Tv,DE5-LEU2_618C-g0,,,DE5-LEU2_618C-g40,,,,DE5redo-LEU2_618C-g80,,,,DE5redo-LEU2_618C-g128
BB-Tv,DE5-LEU2_618B-g0,,,DE5-LEU2_618B-g40,,,,DE5-LEU2_618B-g80,,,,DE5redo-LEU2_618B-g128
BB-Tv,DE5-LEU2_618A-g0,,,DE5-LEU2_618A-g40,,,,DE5-LEU2_618A-g80,,,,DE5redo-LEU2_618A-g128
BB-Tv,DE5-LEU2_618D-g0,,,DE5-LEU2_618D-g40,,,,DE5-LEU2_618D-g80,,,,DE5redo-LEU2_618D-g128
BB-5k,DE5-LEU2_619D-g0,,DE5-LEU2_619D-g32,,,DE5-LEU2_619D-g64,,,,DE5redo-LEU2_619D-g112,,
BB-5k,DE5-LEU2_619C-g0,,DE5-LEU2_619C-g32,,,DE5-LEU2_619C-g64,,,,DE5redo-LEU2_619C-g112,,
BB-5k,DE5-LEU2_619B-g0,,DE5-LEU2_619B-g32,,,DE5-LEU2_619B-g64,,,,DE5redo-LEU2_619B-g112,,
BB-5k,DE5-LEU2_619A-g0,,DE5-LEU2_619A-g32,,,DE5-LEU2_619A-g64,,,,DE5redo-LEU2_619A-g112,,
BB-3E,DE5-LEU2_620B-g0,DE5-LEU2_620B-g24,,,DE5-LEU2_620B-g56,,,,DE5redo-LEU2_620B-g104,,,
BB-3E,DE5-LEU2_620A-g0,DE5-LEU2_620A-g24,,,DE5-LEU2_620A-g56,,,,DE5redo-LEU2_620A-g104,,,
BB-3E,DE5-LEU2_620C-g0,DE5-LEU2_620C-g24,,,DE5redo-LEU2_620C-g56,,,,DE5redo-LEU2_620C-g104,,,
BB-3E,DE5-LEU2_620D-g0,DE5-LEU2_620D-g24,,,DE5-LEU2_620D-g56,,,,DE5redo-LEU2_620D-g104,,,
