,generation
barcodeGroup,0,24,32,40,56,64,72,80,104,112,120,128
BB-3B,DE5_617A-g0,,,DE5_617A-g40,,,,DE5_617A-g80,,,,DE5_617A-g128
BB-3B,DE5_617B-g0,,,DE5_617B-g40,,,,DE5_617B-g80,,,,DE5_617B-g128
BB-3B,DE5_617C-g0,,,DE5_617C-g40,,,,DE5_617C-g80,,,,DE5_617C-g128
BB-3B,DE5_617D-g0,,,DE5_617D-g40,,,,DE5_617D-g80,,,,DE5_617D-g128
BB-Tv,DE5_618C-g0,,,DE5_618C-g40,,,,DE5redo_618C-g80,,,,DE5redo_618C-g128
BB-Tv,DE5_618B-g0,,,DE5_618B-g40,,,,DE5_618B-g80,,,,DE5redo_618B-g128
BB-Tv,DE5_618A-g0,,,DE5_618A-g40,,,,DE5_618A-g80,,,,DE5redo_618A-g128
BB-Tv,DE5_618D-g0,,,DE5_618D-g40,,,,DE5_618D-g80,,,,DE5redo_618D-g128
BB-5k,DE5_619D-g0,,DE5_619D-g32,,,DE5_619D-g64,,,,DE5redo_619D-g112,,
BB-5k,DE5_619C-g0,,DE5_619C-g32,,,DE5_619C-g64,,,,DE5redo_619C-g112,,
BB-5k,DE5_619B-g0,,DE5_619B-g32,,,DE5_619B-g64,,,,DE5redo_619B-g112,,
BB-5k,DE5_619A-g0,,DE5_619A-g32,,,DE5_619A-g64,,,,DE5redo_619A-g112,,
BB-3E,DE5_620B-g0,DE5_620B-g24,,,DE5_620B-g56,,,,DE5redo_620B-g104,,,
BB-3E,DE5_620A-g0,DE5_620A-g24,,,DE5_620A-g56,,,,DE5redo_620A-g104,,,
BB-3E,DE5_620C-g0,DE5_620C-g24,,,DE5redo_620C-g56,,,,DE5redo_620C-g104,,,
BB-3E,DE5_620D-g0,DE5_620D-g24,,,DE5_620D-g56,,,,DE5redo_620D-g104,,,
