tag,output_file_barcodes,demuxed_count,fwd,rvs,barcodes_count,fwd:not_exact_match,fwd_failed:context_not_present_in_reference_sequence,fwd_failed:barcode_not_in_fasta,fwd_failed:low_confidence_barcode_identification,rvs:not_exact_match,rvs_failed:context_not_present_in_reference_sequence,rvs_failed:barcode_not_in_fasta,rvs_failed:low_confidence_barcode_identification
Trixy-Sgk-Prog-P0P10-220422,trxSgk1-1-P10,688,Barcode13,Barcode4,688,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220422,WT-2-P10,670,Barcode10,Barcode4,670,0,0,0,0,1,0,0,0
Trixy-Sgk-Prog-P0P10-220422,611-1-P10,638,Barcode10,Barcode13,638,0,0,0,0,3,0,0,0
Trixy-Sgk-Prog-P0P10-220422,trxSgk23-1-P0,606,Barcode7,Barcode16,606,0,0,0,0,1,0,0,0
Trixy-Sgk-Prog-P0P10-220422,611-2-P10,605,Barcode10,Barcode16,605,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220422,Sgk-1-P10,598,Barcode10,Barcode7,598,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220422,trxSgk13-2-P0,595,Barcode4,Barcode19,595,0,0,0,0,1,0,0,0
Trixy-Sgk-Prog-P0P10-220422,D3-3-P0,568,Barcode4,Barcode1,568,0,0,0,0,1,0,0,0
Trixy-Sgk-Prog-P0P10-220422,WT-2-P0,568,Barcode1,Barcode4,568,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220422,Sgk-1-P0,561,Barcode1,Barcode7,561,1,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220422,trxSgk13-2-P10,501,Barcode13,Barcode19,501,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220422,trxSgk3-1-P10,474,Barcode16,Barcode10,474,0,0,0,0,1,0,0,0
Trixy-Sgk-Prog-P0P10-220422,trxSgk3-1-P0,473,Barcode7,Barcode10,473,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220422,WT-1-P0,449,Barcode1,Barcode1,449,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220422,611-3-P0,364,Barcode1,Barcode19,364,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220422,trxSgk123-3-P0,363,Barcode7,Barcode7,363,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220422,D3-3-P10,362,Barcode13,Barcode1,362,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220422,611-3-P10,342,Barcode10,Barcode19,342,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220422,trxSgk23-2-P0,281,Barcode7,Barcode19,281,1,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220422,Barcode16-fail,61,Barcode16,fail,61,0,0,0,0,0,52,9,0
Trixy-Sgk-Prog-P0P10-220422,fail-Barcode1,59,fail,Barcode1,59,0,51,1,7,0,0,0,0
Trixy-Sgk-Prog-P0P10-220422,Barcode4-fail,45,Barcode4,fail,45,0,0,0,0,0,42,3,0
Trixy-Sgk-Prog-P0P10-220422,fail-Barcode16,45,fail,Barcode16,45,0,42,1,2,0,0,0,0
Trixy-Sgk-Prog-P0P10-220422,fail-Barcode10,42,fail,Barcode10,42,0,41,0,1,0,0,0,0
Trixy-Sgk-Prog-P0P10-220422,Barcode7-fail,41,Barcode7,fail,41,0,0,0,0,0,39,2,0
Trixy-Sgk-Prog-P0P10-220422,fail-Barcode7,39,fail,Barcode7,39,0,34,3,2,0,0,0,0
Trixy-Sgk-Prog-P0P10-220422,fail-Barcode13,36,fail,Barcode13,36,0,32,2,2,0,0,0,0
Trixy-Sgk-Prog-P0P10-220422,fail-Barcode4,32,fail,Barcode4,32,0,30,2,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220422,Barcode13-fail,28,Barcode13,fail,28,0,0,0,0,0,23,5,0
Trixy-Sgk-Prog-P0P10-220422,Barcode1-fail,24,Barcode1,fail,24,0,0,0,0,0,20,4,0
Trixy-Sgk-Prog-P0P10-220422,Barcode10-fail,24,Barcode10,fail,24,0,0,0,0,0,21,3,0
Trixy-Sgk-Prog-P0P10-220422,fail-Barcode19,24,fail,Barcode19,24,0,22,1,1,0,0,0,0
Trixy-Sgk-Prog-P0P10-220422,Barcode19-fail,17,Barcode19,fail,17,0,0,0,0,0,17,0,0
Trixy-Sgk-Prog-P0P10-220422,fail-fail,2,fail,fail,2,0,2,0,0,0,2,0,0
