,generation,
sample_label,0,100
I777K-L900S,P0_453-A1,P10_453-A1
I777K-L900S,P0_453-A2,P10_453-A2
V405A,P0_515-2A,P10_515-2A
V405A,P0_515-2B,P10_515-2B
D460E,P0_A8,P10_A8
P680T,P0_D3,P10_D3
I726F,P0_G3,P10_G3
T698A,P0_G4,P10_G4
