,generations,,,,,,,,,,,,,,
sample_label,50,70,90,110,130,150,170,190,210,230,300,350,420,480,540
TrpB-IE5,TrpB-IE5-P1-P19_P1,TrpB-IE5-P1-P19_P3,TrpB-IE5-P1-P19_P5,TrpB-IE5-P1-P19_P7,TrpB-IE5-P1-P19_P9,TrpB-IE5-P1-P19_P11,TrpB-IE5-P1-P19_P13,TrpB-IE5-P1-P19_P15,TrpB-IE5-P1-P19_P17,TrpB-IE5-P1-P19_P19,TrpB-IE5-P26-P50_P26,TrpB-IE5-P26-P50_P31,TrpB-IE5-P26-P50_P38,TrpB-IE5-P26-P50_P44,TrpB-IE5-P26-P50_P50
